No,Level,Word,Pronunciation,Meaning,Example,NaverPron,PDFPage
13,A1,afraid,pronunciation: | IPA/əˈfreɪd/ | USA,"[형]afraid, afraid that (worried about possibility)~할까봐 걱정 | 하는, 염려하는 | [형]afraid of doing [sth] (worried about [sth] happening) (염 | 려)~하는 것에 대해 걱정하는 | [형]afraid to do [sth] (hesitant)~하기를 주저하는 | [전](time: later) (시간: 나중에)~후에, ~다음에 | [전](because of)때문에, 덕분에, ~한 후에야 | [전](next in series)~뒤에 | [접](time: when, if)~한 후에, ~한 뒤에","I'm afraid my money might run out before the end of the trip. | Sam was afraid of losing his job. | I'm afraid to jump from the bridge into the river. | We can discuss it more after lunch. | After all of our advice, he finally changed his mind. | The letter 'c' comes after the letter 'b'. | You can watch TV after you've eaten. The fans went home",네이버발음,5
14,A1,after,pronunciation: | IPA/ˈæftɚ/ | USA,"[전](position: behind) (위치)뒤에 | [부](behind)뒤에, 후에 | [부]informal (time: later) (시간)후에, 다음에 | [전](lower in rank) (계급)아래인, 낮은 | [명](time from noon to sundown)오후","after the match had finished. | Could you close the door after you, please? | We'll go first and you can follow after. | He walked off in anger but came back two hours after. | A lieutenant comes after a captain. | I'm going to the store this afternoon because I'll be too busy | in the morning.",네이버발음,5
15,A1,afternoon,pronunciation: | IPA/ˌæftɚˈnun/ | USA,"[명](occurring in the afternoon)낮, 오후 | [명](after midday: on given day)낮, 오후 | [부](another time)또, 다시 | [부]used in compound verbs (returning, back) (복귀, 주로 이","Audrey lit her afternoon cigarette and took a deep drag. I | always have an afternoon nap. | I leave work early on a Friday afternoon. | That was fun! Let's do it again. Oh dear! I've done it again. | She often runs away, but always comes home again.",네이버발음,5
16,A1,again,pronunciation: | IPA/əˈgɛn/ | USA,"어동사에 사용)다시 | [부](in the same amount) (양)그만큼 더 | [부]informal (remind me) (상기시켜 달라는 의미로)다시 | [명](years lived)나이 | [명](era)시대 | [명](old age) (고령)나이 | [명]age, ages: figurative (long time)오랜 시간, 오랜 세월","I'd like that much again, please. | What's your boyfriend's name, again? | At the age of six, David started kindergarten. | The age of the dinosaurs ended millions of years ago. In this | multimedia age, you have to check the sources of your | information carefully. | Age does not seem to have impaired his memory.",네이버발음,5
17,A1,age,pronunciation: | IPA/eɪdʒ/ | USA,"[동(자)](grow older)나이가 들다 | [동(자)](food, wine: mature) (음식)숙성되다 | [동(타)]age [sb] (make older-looking) (물건)~를 낡게 하다 | [동(타)]age [sth] (wine, whiskey: mature) (주로 술)~를 익히 | 다,~를 숙성시키다","It's been an age since I last saw him. | As people age, they develop wrinkles. | Louis leaves his cheese out on the counter to age. | Smoking ages you by dehydrating your skin. | The distillery ages its whiskey in oak casks.",네이버발음,5
18,A1,ago,pronunciation: | IPA/əˈgoʊ/,[부](in the past)~ 전에 | I went to the bank three days ago.,,네이버발음,5
19,A1,agree,pronunciation: | IPA/əˈgri/ | USA,"다 | [동(자)](say yes)응하다, ~기로 하다 | [동(자)](harmonize, tally)일치하다 | [동(자)]agree with [sth] (grammar: have concordance) (문법, | 주어와 동사 일치 등)~와 호응하다 | [동(자)]agree on [sth] (decide mutually) (격식)~에 동의하다 | [동(자)]agree upon [sth]: slightly formal (decide mutually)~에 | 합의하다 | [명](space above, around)허공, 공중 | [명](atmosphere)공기 | [명](wind)바람","I asked him to come to the party and he agreed. | We both counted the votes, but our results don't agree; I | tallied 750 ""yes"" votes and you got only 748. | In French, the adjective must agree with the noun. | Both sides agreed on a truce. | The two men agreed upon a price for the secondhand car. | The magician seemed to hover in the air before their eyes. | The air in the bar was thick with smoke. | I felt a gust of air on my neck.",네이버발음,6
20,A1,air,pronunciation: | IPA/ɛr/ | USA,"[명](ambiance)분위기 | [동(타)]air [sth] (show, broadcast)~을 방송하다, ~을 방영하다 | [동(타)]air [sth] figurative (express, vent)~을 표출하다, ~을 말 | 하다 | [명](where planes take off, land) (항공기 이/착륙이 이루어지",His departure cast an air of sadness over their gathering. | All of the networks will air the debate. | The students went to the principal to air their grievances. | Please arrive at the airport two hours before your flight is due,네이버발음,6
21,A1,airport,pronunciation: | IPA/ˈɛrˌpɔrt/ | USA,"는 장소)공항 | [명(대)]all of (every one of)모든 | [명(대)]all of (every bit of)모든 | [형](every bit of)모든, 전체의 | [형](every one of)전부, 모두",to depart. | Someone has eaten all of the chocolates. | All of his classmates went to his birthday party. | I've spent all of my money. | He spilled all the soup on the floor. | All these books need to be sold.,네이버발음,6
22,A1,all,pronunciation: | IPA/ɔl/ | USA,"[형](time: the entirety of) (시간)내내 | [형](extent: the entirety of) (정도)~동안 쭉 | [형](duration: the entirety of)내내, 줄곧 | [형](any)모든 | [명(대)](everything)모두, 전부, 온 세상 | [부](likewise, too)역시, 마찬가지로, ~도","I've been waiting all afternoon. | We played cards all the way to Paris. | He snored through all the play. | Beyond all shadow of a doubt, she's the best worker that we | have. | It's midnight and all is quiet. | If you write to me I will also write to you.",네이버발음,6
23,A1,also,pronunciation: | IPA/ˈɔlsoʊ/ | USA | pronunciation:,"[부](in addition)그리고, 더하여 | [부](every time)매번 | [부](forever)영원히, 언제까지나 | [부](since forever)언제나, 늘","Dad's agreed to let us use his car for the day. Also, he's | going to give us some spending money! | She always writes thank you letters after her birthday. | I will always love you.",네이버발음,6
24,A1,always,"IPA/ˈɔlweɪz, - | wiz/ | USA","[부](continually)항상, 언제나 | [부]informal (if necessary) (비격식)필요하면, 필요시, 필요한 | 경우 | [형]informal (very good)놀라운","I have always loved you. | He's always complaining but he never does anything about it. | You can always take the train if your car's not working. | The quarterback is an amazing player, with superior skills.",네이버발음,6
25,A1,amazing,"pronunciation: | IPA/əˈmeɪzɪŋ/ | and': (and; | unstressed | ənd, ən, or,","[형](astonishing)믿기 힘든 | [감](expressing astonishment)놀랍다 | [접](as well as)~과, 그리고 | [접](with)~와 함께 | [접](as a result) (명령문 다음에)그러면, 그 결과",The magician's vanishing trick was truly amazing. | Amazing! What a great shot on goal! | I bought beer and wine. | I'd like some strawberries and cream. | Try harder and you will succeed.,네이버발음,6
26,A1,and,"esp. after a | homorganic | consonant, n); | 'AND': (and) | USA","[접](then)그리고 나서, ~하고 | [접](mathematics: plus) (덧셈)더하기 | [접](giving alternatives)또는 | [형](cross, annoyed)화난 | [형]angry about [sth], angry at [sth] (cross about [sth])~에 대 | 해 화나다 | [형]angry with [sb], angry at [sb](cross with [sb])~에게 화난, ~ | 에 대해 화난",I got dressed and went downstairs. | Two and two make four. | I have to choose between walking and driving. | Our teacher was angry today. | He was angry about his son's failure. | Doris is angry with her lazy husband.,네이버발음,6
27,A1,angry,pronunciation: | IPA/ˈæŋgri/ | USA,"[형]angry with [sb] for doing [sth], angry at [sb] for doing [sth] | (cross with [sb])~가 ~한 것에 대해 화나다 | [형](tone, look: shows anger)화나 보이는 | [형]figurative (wound: infected, red) (상처)벌겋게 곪은, 욱신 | 거리는 | [명](creature)동물","I am angry with my sister for taking my book. | ""Put that down,"" he said, giving her an angry look. | There was an angry wound on Anthony's right arm. | Cats are one of the few domesticated animals.",네이버발음,6
28,A1,animal,pronunciation: | IPA/ˈænəməl/ | USA,[형](of or from animals)동물의 | [형](one more)또 다른,"Ivana's coat was made of animal fur. | I'd like another cup of coffee, please.",네이버발음,6
29,A1,another,pronunciation: | IPA/əˈnʌðɚ/,[명(대)](one more)하나 더 | [형](different)다른,"First, Alfie ate one biscuit, and then he ate another. | That's another story altogether.",네이버발음,6
